pf0,pf1
^HSI.US,2828恆生H股
000001.SS.US,2822南方A50
2800盈富基金,700騰訊控股
5匯豐控股,941中國移動
1長和,1398工商銀行
1299友邦保險,3988中國銀行
2388中銀香港,939建設銀行
388香港交易所,2318中國平安
2中電控股,2628中國人壽
,386中國石化
,857中國石油
,883中國海洋石油
,1766中國中車
